IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.172.111.168,4,4,0.00,277.47,0.00
103.172.111.168,4,4,0.00,279.07,0.00
8.209.110.66,4,4,0.00,279.32,0.00
8.208.25.37,4,4,0.00,283.76,0.00
103.172.111.168,4,4,0.00,285.13,0.00
47.91.87.63,4,4,0.00,286.02,0.00
103.172.110.95,4,4,0.00,286.42,0.00
103.172.110.98,4,4,0.00,286.51,0.00
8.211.2.134,4,4,0.00,289.14,0.00
103.172.110.98,4,4,0.00,290.34,0.00
8.209.110.181,4,4,0.00,290.84,0.00
8.209.96.2,4,4,0.00,295.98,0.00
47.254.177.85,4,4,0.00,298.51,0.00
8.211.2.134,4,4,0.00,298.98,0.00
8.209.107.31,4,4,0.00,302.23,0.00
103.172.110.98,4,4,0.00,304.26,0.00
8.209.73.101,4,4,0.00,305.67,0.00
103.172.111.101,4,4,0.00,307.29,0.00
103.172.111.246,4,4,0.00,312.69,0.00
103.172.111.246,4,4,0.00,313.36,0.00
8.209.88.234,4,4,0.00,313.70,0.00
8.209.102.4,4,4,0.00,313.85,0.00
8.211.0.248,4,4,0.00,314.32,0.00
157.245.146.83,4,4,0.00,319.00,0.00
131.186.29.243,4,4,0.00,319.05,0.00
8.209.96.2,4,4,0.00,319.38,0.00
8.211.2.18,4,4,0.00,320.24,0.00
139.59.252.104,4,4,0.00,323.44,0.00
103.172.110.99,4,4,0.00,324.08,0.00
8.209.105.36,4,4,0.00,326.71,0.00
139.59.242.97,4,4,0.00,327.49,0.00
128.199.136.75,4,4,0.00,327.95,0.00
8.209.111.39,4,4,0.00,328.00,0.00
128.199.216.46,4,4,0.00,333.55,0.00
8.211.8.70,4,4,0.00,334.62,0.00
188.166.245.226,4,4,0.00,335.28,0.00
132.226.171.37,4,4,0.00,337.42,0.00
143.198.195.208,4,4,0.00,337.96,0.00
128.199.144.209,4,4,0.00,338.27,0.00
103.172.111.101,4,4,0.00,338.87,0.00
157.230.39.224,4,4,0.00,343.93,0.00
157.245.49.202,4,4,0.00,347.64,0.00
143.198.219.3,4,4,0.00,348.03,0.00
103.172.111.168,4,4,0.00,354.84,0.00
103.172.110.95,4,4,0.00,355.76,0.00
103.172.110.96,4,4,0.00,356.68,0.00
209.97.165.101,4,4,0.00,359.06,0.00
8.209.119.20,4,4,0.00,363.01,0.00
146.190.93.57,4,4,0.00,363.25,0.00
